,Fecha,Criptomoneda,Precio,Variación 24h,Capitalización de mercado,Volumen
195,2021-02-21,Bitcoin,57669.3035269179,2.2911037042981697,1075380337357.91,61223272210.96
196,2021-02-22,Bitcoin,54410.85629451601,-5.650228168406734,1012091985973.46,101532021847.07
197,2021-02-23,Bitcoin,48691.894831704405,-10.510699246958932,904133801444.53,116689607925.81
198,2021-02-24,Bitcoin,49849.378713583144,2.3771592497671135,929081504353.55,73140585468.97
199,2021-02-25,Bitcoin,46992.665450048495,-5.730689804477429,875883932252.44,60355381275.55
200,2021-02-26,Bitcoin,46551.48747675472,-0.938823046253312,869070614247.86,74357197463.71
201,2021-02-27,Bitcoin,46653.52639939581,0.21919583706544454,869649724200.58,50989764248.83
202,2021-02-28,Bitcoin,44970.163459946736,-3.6082222917898643,838307614585.19,59679588927.08
203,2021-03-01,Bitcoin,49787.33995949672,10.71193904785439,928146793676.43,63218569171.60
204,2021-03-02,Bitcoin,48532.23678981703,-2.520928353876206,905413239164.91,53499537416.82
205,2021-03-03,Bitcoin,50577.45746915202,4.214148810392593,942969910364.18,59212268141.17
206,2021-03-04,Bitcoin,48727.45120080115,-3.6577684227784957,908517236707.54,60749587836.17
207,2021-03-05,Bitcoin,49091.81488232977,0.7477585479017002,911379300053.35,56568112294.27
208,2021-03-06,Bitcoin,49019.36859236582,-0.14757305293682244,916504852500.39,41478786533.38
209,2021-03-07,Bitcoin,51313.09262027362,4.679219854873895,955040794770.14,46146324828.48
210,2021-03-08,Bitcoin,52328.5359126325,1.9789165698379296,974195000547.44,53568946625.62
211,2021-03-09,Bitcoin,54700.273439277444,4.532398021998518,1018978819157.42,57418251743.06
212,2021-03-10,Bitcoin,56020.4877195857,2.413542377944089,1044805904677.55,63560545036.80
213,2021-03-11,Bitcoin,57788.86810329514,3.156667240316069,1077836070933.29,64605228617.76
214,2021-03-12,Bitcoin,57353.86147197248,-0.7527516035529702,1069776383193.86,59984971691.81
215,2021-03-13,Bitcoin,61315.197932766816,6.906834795648686,1145191373521.59,67332756651.28
216,2021-03-14,Bitcoin,59428.967566027764,-3.076285212040475,1111684638819.07,48104078384.27
217,2021-03-15,Bitcoin,55805.32924923426,-6.0974276774495735,1049197142851.56,70594488699.71
218,2021-03-16,Bitcoin,56830.253335076224,1.8366061084677199,1060221966894.74,63219904254.35
219,2021-03-17,Bitcoin,59014.92563205099,3.8442065075686704,1101028543248.46,63368268626.28
220,2021-03-18,Bitcoin,57922.40959262911,-1.8512537764319936,1081065767945.87,58387006275.73
221,2021-03-19,Bitcoin,58243.27060892363,0.5539497036659125,1086741150606.82,51948388930.76
